kw,hub,cluster_id,intent,est_volume,est_kd,priority,cannibal_slug
"webasto alternative",H6,H6-c26,comparison,2200,44,70,
"tripac alternative",H6,H6-c27,comparison,2200,44,70,
"dometic alternative",H6,H6-c29,comparison,2200,44,70,
"parking ac oem",H2,H2-c01,commercial,1100,38,43,
"webasto vs eberspacher",H6,H6-c26,comparison,1100,38,41,
"indel b alternative",H6,H6-c30,comparison,1100,38,41,
"truma ac alternative",H6,H6-c31,comparison,1100,38,41,
"kingclima vs guchen",H6,H6-c33,comparison,1100,38,41,
"guchen vs kingclima",H6,H6-c33,comparison,1100,38,41,
"parking ac moq",H2,H2-c01,transactional,1100,38,38,
"best truck sleeper ac",H2,H2-c01,commercial,715,32,34,
"best rv ac unit",H2,H2-c01,commercial,715,32,34,
"best van conversion ac",H2,H2-c01,commercial,715,32,34,
"parking ac manufacturer china",H9,H9-c63,commercial,715,32,34,
"bulk parking ac supplier",H9,H9-c64,commercial,715,32,34,
"b2b parking ac supplier",H9,H9-c64,commercial,715,32,34,
"best parking ac supplier",H9,H9-c64,commercial,715,32,34,
"oem truck ac manufacturer",H9,H9-c67,commercial,715,32,34,
"parking ac supplier verification",H9,H9-c72,commercial,715,32,34,
"parking ac brand comparison",H2,H2-c01,comparison,715,32,31,
"best alternative to dometic",H6,H6-c29,comparison,715,32,31,
"parking ac manufacturer comparison",H6,H6-c32,comparison,715,32,31,
"24v parking ac",H2,H2-c01,informational,1100,38,29,
"rv ac wholesale supplier",H2,H2-c01,transactional,715,32,29,
"parking ac wholesale supplier",H9,H9-c64,transactional,715,32,29,
"parking ac dealer wholesale",H9,H9-c64,transactional,715,32,29,
"rv air conditioner brands",H2,H2-c01,commercial,550,32,26,
"parking ac dealer partnership",H9,H9-c64,commercial,550,32,26,
"parking ac distributor program",H9,H9-c65,commercial,550,32,26,
"parking ac distributor application",H9,H9-c70,commercial,550,32,26,
"parking ac oem customization",H9,H9-c79,commercial,550,32,26,
"parking ac vs apu",H2,H2-c01,comparison,550,32,24,
"apu vs battery ac",H6,H6-c04,comparison,550,32,24,
"rigmaster vs bergstrom nite",H6,H6-c28,comparison,550,32,24,
"parking ac alibaba alternative",H6,H6-c73,comparison,550,32,24,
"parking ac vs idle",H6,H6-c77,comparison,550,32,24,
"lifepo4 truck ac",H4,H4-c10,informational,1100,48,23,
"parking ac install cost",H7,H7-c35,transactional,550,32,22,parking-ac-installation-cost-2026
"best battery for parking ac",H2,H2-c01,commercial,364,26,21,
"best parking ac in usa",H2,H2-c01,commercial,364,26,21,
"parking ac private label manufacturer",H9,H9-c66,commercial,364,26,21,
"truck sleeper ac reviews",H1,H1-c03,commercial,550,42,20,
"parking ac for trucks",H2,H2-c01,informational,550,32,17,
"no idle truck ac",H2,H2-c01,informational,550,32,17,
"electric truck cab ac",H2,H2-c01,informational,550,32,17,
"class 8 sleeper ac",H2,H2-c01,informational,550,32,17,
"semi truck parking ac",H2,H2-c01,informational,550,32,17,parking-ac-for-semi-sleeper-berth
"cab cooling no idle",H2,H2-c01,informational,550,32,17,
"battery powered truck ac",H2,H2-c01,informational,550,32,17,
"sleeper cab cooling system",H2,H2-c01,informational,550,32,17,
"rv rooftop air conditioner",H2,H2-c01,informational,550,32,17,
"rv ac 12v battery",H2,H2-c01,informational,550,32,17,
"quiet rv air conditioner",H2,H2-c01,informational,550,32,17,
"class a rv ac",H2,H2-c01,informational,550,32,17,
"class c motorhome ac",H2,H2-c01,informational,550,32,17,
"rooftop air conditioner motorhome",H2,H2-c01,informational,550,32,17,
"camper van ac unit",H2,H2-c01,informational,550,32,17,
"off grid van ac",H2,H2-c01,informational,550,32,17,
"rooftop ac for sprinter",H2,H2-c01,informational,550,32,17,
"van life ac unit",H2,H2-c01,informational,550,32,17,
"parking ac power draw",H2,H2-c01,informational,550,32,17,
"12v ac amp draw",H2,H2-c01,informational,550,32,17,
"parking ac install time",H2,H2-c01,informational,550,32,17,
"what is parking ac",H2,H2-c01,informational,550,32,17,
"parking ac inverter type",H2,H2-c01,informational,550,32,17,
"parking ac export capability",H2,H2-c01,informational,550,32,17,
"parking ac product specifications",H2,H2-c01,informational,550,32,17,
"parking ac installation guide",H2,H2-c01,informational,550,32,17,truck-ac-installation-africa
"electric apu for trucks",H6,H6-c04,informational,550,32,17,
"low profile rv ac",H2,H2-c05,informational,550,32,17,
"low profile van ac",H2,H2-c05,informational,550,32,17,
"rv ac power consumption",H2,H2-c06,informational,550,32,17,
"transit van ac install",H7,H7-c08,informational,550,32,17,
"promaster ac for camper",H3,H3-c09,informational,550,32,17,
"anti idling law california",H5,H5-c16,informational,550,32,17,
"no idle truck regulations",H5,H5-c17,informational,550,32,17,
"fleet anti idling solutions",H5,H5-c18,informational,550,32,17,
"carb smartway approved ac",H5,H5-c19,informational,550,32,17,
"truck idle reduction technology",H5,H5-c21,informational,550,32,17,
"epa smartway parking ac",H5,H5-c23,informational,550,32,17,
"idle reduction grant 2026",H5,H5-c24,informational,550,32,17,
"parking ac install kit",H7,H7-c42,informational,550,32,17,
"parking ac wiring diagram",H7,H7-c43,informational,550,32,17,
"parking ac saudi arabia",H8,H8-c48,informational,550,32,17,
"parking ac south africa",H8,H8-c51,informational,550,32,17,parking-ac-south-africa-cape-town-tourism
"parking ac new zealand",H8,H8-c62,informational,550,32,17,
"parking ac private label",H9,H9-c66,informational,550,32,17,
"parking ac factory direct",H9,H9-c68,informational,550,32,17,
"parking ac upfitter program",H9,H9-c69,informational,550,32,17,
"parking ac trade buyer",H9,H9-c75,informational,550,32,17,
"parking ac white label",H9,H9-c76,informational,550,32,17,
"electric apu vs diesel apu",H6,H6-c04,comparison,280,26,15,
