campaign,ad_group,asset_type,text,final_url,notes
Search - Parking AC - EN,Parking AC Core,headline,12V/24V Parking AC,https://www.cooldrivepro.com/landing/truck-parking-ac,Core product headline
Search - Parking AC - EN,Parking AC Core,headline,Factory Direct AC Units,https://www.cooldrivepro.com/landing/truck-parking-ac,Factory positioning
Search - Parking AC - EN,Parking AC Core,headline,No-Idle Truck Cooling,https://www.cooldrivepro.com/landing/truck-parking-ac,Anti-idle angle
Search - Parking AC - EN,Parking AC Core,headline,Get Quote Within 24h,https://www.cooldrivepro.com/landing/truck-parking-ac,Lead CTA
Search - Parking AC - EN,Parking AC Core,headline,Fleet Pricing Available,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,B2B CTA
Search - Parking AC - EN,Parking AC Core,description,Explore 12V and 24V parking AC units for trucks RVs vans and fleet vehicles.,https://www.cooldrivepro.com/landing/truck-parking-ac,Under 90 chars
Search - Parking AC - EN,Parking AC Core,description,Reduce idling and keep sleeper cabs cool with factory-direct parking AC systems.,https://www.cooldrivepro.com/landing/truck-parking-ac,Under 90 chars
Search - Truck Sleeper AC - EN,Truck Sleeper AC,headline,Truck Sleeper Cab AC,https://www.cooldrivepro.com/landing/truck-parking-ac,Truck-specific
Search - Truck Sleeper AC - EN,Truck Sleeper AC,headline,Semi Truck Parking AC,https://www.cooldrivepro.com/landing/truck-parking-ac,Truck-specific
Search - Truck Sleeper AC - EN,Truck Sleeper AC,headline,Battery Powered AC,https://www.cooldrivepro.com/landing/truck-parking-ac,No-idle angle
Search - Truck Sleeper AC - EN,Truck Sleeper AC,headline,APU Alternative Cooling,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,ROI angle
Search - Truck Sleeper AC - EN,Truck Sleeper AC,description,Compare sleeper cab cooling options and request a factory direct truck AC quote.,https://www.cooldrivepro.com/landing/truck-parking-ac,Under 90 chars
Search - Truck Sleeper AC - EN,Truck Sleeper AC,description,Help drivers rest without long idling. See 12V and 24V truck parking AC options.,https://www.cooldrivepro.com/landing/truck-parking-ac,Under 90 chars
Search - Fleet ROI - EN,Fleet ROI,headline,Fleet AC ROI Report,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,Lead magnet
Search - Fleet ROI - EN,Fleet ROI,headline,Idle Fuel Savings,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,ROI angle
Search - Fleet ROI - EN,Fleet ROI,headline,Lower Fleet Idle Costs,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,Fleet angle
Search - Fleet ROI - EN,Fleet ROI,headline,Calculate AC Payback,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,Calculator angle
Search - Fleet ROI - EN,Fleet ROI,description,Use our parking AC savings guide to estimate fuel savings payback and fleet impact.,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,Under 90 chars
Search - Fleet ROI - EN,Fleet ROI,description,Send fleet size and idle hours. Get a custom parking AC ROI response within 48 hours.,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,Under 90 chars
Search - RV Van AC - EN,RV Battery AC,headline,12V RV Air Conditioner,https://www.cooldrivepro.com/landing/rv-van-12v-ac,RV angle
Search - RV Van AC - EN,RV Battery AC,headline,Battery Powered RV AC,https://www.cooldrivepro.com/landing/rv-van-12v-ac,RV angle
Search - RV Van AC - EN,RV Battery AC,headline,Compact Van AC Units,https://www.cooldrivepro.com/landing/rv-van-12v-ac,Van angle
Search - RV Van AC - EN,RV Battery AC,headline,Quiet Off-Grid Cooling,https://www.cooldrivepro.com/landing/rv-van-12v-ac,Boondocking angle
Search - RV Van AC - EN,RV Battery AC,description,Find compact 12V cooling options for RVs vans light trucks and off-grid travel.,https://www.cooldrivepro.com/landing/rv-van-12v-ac,Under 90 chars
Search - RV Van AC - EN,RV Battery AC,description,Compare battery-powered RV AC options and ask for model recommendations.,https://www.cooldrivepro.com/landing/rv-van-12v-ac,Under 90 chars
Search - Distributor - EN,Distributor,headline,Parking AC Distributor,https://www.cooldrivepro.com/landing/distributor-parking-ac,B2B partner
Search - Distributor - EN,Distributor,headline,Factory Direct Supply,https://www.cooldrivepro.com/landing/distributor-parking-ac,Factory positioning
Search - Distributor - EN,Distributor,headline,Dealer Inquiries Open,https://www.cooldrivepro.com/landing/distributor-parking-ac,Dealer CTA
Search - Distributor - EN,Distributor,headline,12V 24V AC Product Line,https://www.cooldrivepro.com/landing/distributor-parking-ac,Product range
Search - Distributor - EN,Distributor,description,Request distributor terms for CoolDrivePro parking AC products and regional supply.,https://www.cooldrivepro.com/landing/distributor-parking-ac,Under 90 chars
Search - Distributor - EN,Distributor,description,Share your market and target vehicles. We will review dealer fit and product mix.,https://www.cooldrivepro.com/landing/distributor-parking-ac,Under 90 chars
Search - Brand - EN,Brand,headline,CoolDrivePro,https://www.cooldrivepro.com/,Brand
Search - Brand - EN,Brand,headline,CoolDrivePro Parking AC,https://www.cooldrivepro.com/,Brand
Search - Brand - EN,Brand,description,Visit CoolDrivePro for parking air conditioner products guides and sales support.,https://www.cooldrivepro.com/,Brand description
