kw,intent,est_volume,est_kd,priority,cluster_root
"dirna bycool review",commercial,1430,38,56,"dirna bycool review"
"autoclima review",commercial,2860,44,98,"autoclima review"
"top parking ac brands 2026",commercial,364,26,21,"top parking ac brands 2026"
"chinese parking ac brands",commercial,550,32,26,"chinese parking ac brands"
"european parking ac brands",commercial,550,32,26,"european parking ac brands"
"how to wire 12v ac",informational,280,26,11,"how to wire 12v ac"
"how does parking ac work",informational,280,26,11,"how does parking ac work"
"parking ac noise db",informational,550,32,17,"parking ac noise db"
"parking ac btu calculator",informational,550,32,17,"parking ac btu calculator"
"parking ac warranty",navigational,1100,48,7,"parking ac warranty"
"parking ac troubleshooting",navigational,1100,38,9,"parking ac compressor failure"
"parking ac not cooling",informational,550,32,17,"parking ac compressor failure"
"parking ac compressor failure",informational,550,32,17,"parking ac compressor failure"
"parking ac troubleshooting guide",informational,550,32,17,"parking ac compressor failure"
"parking ac error codes",informational,550,32,17,"parking ac error codes"
"parking ac refrigerant type",informational,550,32,17,"parking ac refrigerant type"
"parking ac for cold weather",informational,280,36,8,"parking ac for cold weather"
"parking ac brand background",commercial,715,32,34,"parking ac brand background"
"parking ac pricing rfq",transactional,550,32,22,"parking ac pricing rfq"
"parking ac ce certification",informational,550,32,17,"parking ac ce certification"
"parking ac after sales support",informational,280,26,11,"parking ac after sales support"
"parking ac use case industry",informational,280,26,11,"parking ac use case industry"
"parking ac pre sales consultation",informational,280,26,11,"parking ac pre sales consultation"
"parking ac shipping and delivery",informational,280,26,11,"parking ac shipping and delivery"
"parking ac customer reviews case studies",commercial,140,20,11,"parking ac customer reviews case studies"
"parking ac industry trends 2026",informational,280,26,11,"parking ac industry trends 2026"
"parking ac multilingual support",informational,550,32,17,"parking ac multilingual support"
"parking ac safety fire compliance",informational,280,26,11,"parking ac safety fire compliance"
"parking ac global service network",informational,280,26,11,"parking ac global service network"
"parking ac competitive intelligence",informational,550,32,17,"parking ac competitive intelligence"
"parking ac procurement risk",informational,550,32,17,"parking ac procurement risk"
"parking ac long tail discovery",informational,280,26,11,"parking ac long tail discovery"
