campaign,ad_group,match_type,keyword,final_url,intent
Search - Parking AC - EN,Parking AC Core,Exact,parking air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Parking AC - EN,Parking AC Core,Phrase,parking air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Parking AC - EN,Parking AC Core,Exact,parking ac,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Parking AC - EN,Parking AC Core,Phrase,parking ac unit,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Parking AC - EN,Parking AC Core,Exact,12v parking air conditioner,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - Parking AC - EN,Parking AC Core,Phrase,12v parking ac,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - Parking AC - EN,Parking AC Core,Exact,24v parking air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Parking AC - EN,Parking AC Core,Phrase,24v parking ac,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,truck sleeper air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,truck sleeper air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,semi truck air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,semi truck air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,semi truck parking ac,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,truck cab air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,truck cab air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,sleeper cab ac,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,truck ac,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,truck ac,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,12 volt air conditioner for trucks,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,12 volt air conditioner for trucks,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,ac for semi truck,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,ac for semi truck,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,semi truck ac unit,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,semi truck ac unit,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,ac for truck,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,ac for truck,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,truck ac unit,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,truck ac unit,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,12v air conditioner for truck,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,12v air conditioner for truck,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Exact,truck aircon,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,Truck Sleeper AC,Phrase,truck aircon,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,No Idle Cooling,Exact,no idle truck ac,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,No Idle Cooling,Phrase,no idle truck air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,No Idle Cooling,Exact,battery powered truck air conditioner,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Truck Sleeper AC - EN,No Idle Cooling,Phrase,battery powered truck ac,https://www.cooldrivepro.com/landing/truck-parking-ac,commercial
Search - Fleet ROI - EN,Fleet ROI,Exact,truck idle fuel savings calculator,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,high_intent
Search - Fleet ROI - EN,Fleet ROI,Phrase,parking ac fuel savings,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,high_intent
Search - Fleet ROI - EN,Fleet ROI,Exact,apu alternative for trucks,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,commercial
Search - Fleet ROI - EN,Fleet ROI,Phrase,anti idle truck cooling,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,commercial
Search - Fleet ROI - EN,Fleet Management,Phrase,fleet truck air conditioning,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,b2b
Search - Fleet ROI - EN,Fleet Management,Phrase,parking ac for fleets,https://www.cooldrivepro.com/landing/fleet-parking-ac-roi,b2b
Search - RV Van AC - EN,RV Battery AC,Exact,battery powered rv air conditioner,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Phrase,battery powered rv ac,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Exact,12v rv air conditioner,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Phrase,12v air conditioner for rv,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Exact,portable ac for truck,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Phrase,portable ac for truck,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Exact,truck camper ac,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Phrase,truck camper ac,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Exact,truck cap air conditioner,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Phrase,truck cap air conditioner,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Exact,truck bed ac unit,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,RV Battery AC,Phrase,truck bed ac unit,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,Van AC,Exact,12v van air conditioner,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - RV Van AC - EN,Van AC,Phrase,van parking ac,https://www.cooldrivepro.com/landing/rv-van-12v-ac,commercial
Search - Distributor - EN,Distributor,Exact,parking ac distributor,https://www.cooldrivepro.com/landing/distributor-parking-ac,b2b
Search - Distributor - EN,Distributor,Phrase,parking air conditioner distributor,https://www.cooldrivepro.com/landing/distributor-parking-ac,b2b
Search - Distributor - EN,Distributor,Exact,truck ac dealer,https://www.cooldrivepro.com/landing/distributor-parking-ac,b2b
Search - Distributor - EN,Distributor,Phrase,12v air conditioner supplier,https://www.cooldrivepro.com/landing/distributor-parking-ac,b2b
Search - Brand - EN,Brand,Exact,cooldrivepro,https://www.cooldrivepro.com/,brand
Search - Brand - EN,Brand,Phrase,cooldrivepro parking ac,https://www.cooldrivepro.com/,brand
